Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
customise,customize
customised,customized
customising,customizing
customisation,customization
organise,organize
organised,organized
organising,organizing
organisation,organization
realise,realize
realised,realized
realising,realizing
realisation,realization
apologise,apologize
apologised,apologized
apologising,apologizing
recognise,recognize
recognised,recognized
recognising,recognizing
recognition,recognition
emphasise,emphasize
emphasised,emphasized
emphasising,emphasizing
colour,color
coloured,colored
colouring,coloring
honour,honor
honoured,honored
humour,humor
humorous,humorous
labour,labor
labouring,laboring
neighbour,neighbor
neighbourhood,neighborhood
flavour,flavor
flavoured,flavored
centre,center
centred,centered
theatre,theater
theatres,theaters
metre,meter
litre,liter
travelling,traveling
travelled,traveled
traveller,traveler
cancelled,canceled
cancelling,canceling
modelling,modeling
modelled,modeled
signalled,signaled
signalling,signaling
fuelled,fueled
fuelling,fueling
marvellous,marvelous
dialogue,dialog
catalogue,catalog
analogue,analog
monologue,monolog
paediatric,pediatric
anaesthesia,anesthesia
encyclopaedia,encyclopedia
leukaemia,leukemia
oestrogen,estrogen
manoeuvre,maneuver
defence,defense
offence,offense
licence,license
practise,practice
programme,program
jewellery,jewelry
cheque,check
grey,gray
tyre,tire
aluminium,aluminum
aeroplane,airplane
ageing,aging
judgement,judgment
skilful,skillful
enrol,enroll
enrolled,enrolled
fulfil,fulfill
fulfilled,fulfilled
